adm2,order
020047,891
014037,892
020048,893
014038,894
014039,895
020040,896
014030,897
014031,898
014032,899
014033,900
014034,901
020038,902
020039,903
020030,904
020031,905
020032,906
020033,907
020034,908
014068,909
020035,910
014069,911
020036,912
020037,913
014060,914
014061,915
014062,916
014063,917
014064,918
014065,919
014066,920
014067,921
020027,922
020028,923
020029,924
020063,925
020064,926
020065,927
020066,928
020067,929
014057,930
020068,931
014058,932
020069,933
014059,934
020060,935
014050,936
020061,937
014051,938
020062,939
014052,940
014053,941
014054,942
014055,943
014056,944
020052,945
020053,946
020054,947
020055,948
020056,949
020057,950
020058,951
020059,952
014082,953
014083,954
020050,955
014084,956
020051,957
014085,958
014086,959
014087,960
014088,961
014089,962
020049,963
014080,964
014081,965
020085,966
020086,967
020087,968
020088,969
020089,970
014079,971
020080,972
020081,973
014071,974
020082,975
014072,976
020083,977
014073,978
020084,979
014074,980
014075,981
014076,982
014077,983
014078,984
014070,985
020074,986
020075,987
020076,988
020077,989
020078,990
020079,991
020070,992
020071,993
020072,994
020073,995
014093,996
014094,997
014095,998
014096,999
014097,1000
014098,1001
014099,1002
014090,1003
014091,1004
014092,1005
020096,1006
020097,1007
020098,1008
020099,1009
020090,1010
020091,1011
020092,1012
020093,1013
020094,1014
020095,1015
004003,1016
004004,1017
004005,1018
018006,1019
018007,1020
004007,1021
018008,1022
004008,1023
018009,1024
004009,1025
018001,1026
004001,1027
018002,1028
004002,1029
018003,1030
018004,1031
018005,1032
030100,1033
030101,1034
018020,1035
018017,1036
018018,1037
018019,1038
018010,1039
018011,1040
018012,1041
018013,1042
018014,1043
018015,1044
018016,1045
030120,1046
030121,1047
030122,1048
030123,1049
030124,1050
011010,1051
011011,1052
011012,1053
011013,1054
011014,1055
011015,1056
011016,1057
011017,1058
030114,1059
030115,1060
030116,1061
030117,1062
030118,1063
030119,1064
030110,1065
030111,1066
011007,1067
030112,1068
011008,1069
030113,1070
011009,1071
011001,1072
011002,1073
011003,1074
011004,1075
011005,1076
011006,1077
030103,1078
030105,1079
030106,1080
030107,1081
030108,1082
030109,1083
030140,1084
030141,1085
030142,1086
030143,1087
030144,1088
007110,1089
030145,1090
007111,1091
030146,1092
011032,1093
011033,1094
011034,1095
011035,1096
011036,1097
011037,1098
011038,1099
011039,1100
030136,1101
030137,1102
030138,1103
020300,1104
011030,1105
030139,1106
020301,1107
007105,1108
011031,1109
007106,1110
007107,1111
007108,1112
026003,1113
007109,1114
026004,1115
026005,1116
026006,1117
026007,1118
030131,1119
026008,1120
030132,1121
026009,1122
011029,1123
030133,1124
030134,1125
007100,1126
007101,1127
030135,1128
007102,1129
007103,1130
007104,1131
026001,1132
011021,1133
031010,1134
026002,1135
011022,1136
031011,1137
011023,1138
031012,1139
011024,1140
031013,1141
011025,1142
031014,1143
011026,1144
031015,1145
011027,1146
011028,1147
030125,1148
030126,1149
030127,1150
030128,1151
011020,1152
030129,1153
030161,1154
030162,1155
